ID,U_Full,V_Full,J_Full,U_Decomposed,V_Decomposed,J_Decomposed,zpk
UDS_7274,-103.79570023963305,-104.28653267471395,-104.8110134709114,-102.71866650715191,-103.22855047158428,-103.45430405695878,3.044
UDS_7280,-102.55458907503709,-103.29739707962821,-103.73789712735226,-102.55240217812073,-103.29490616061094,-103.73346688845191,0.4433
UDS_7283,-103.59638081628376,-104.55989335719337,-105.17354574629042,-103.50200540622923,-104.5108413554724,-105.13041354479127,1.2432
UDS_7298,-101.75829876155795,-102.57069649457185,-103.06920515873779,-101.75829876155795,-102.57069649457185,-103.06920515873779,0.6502
UDS_7299,-104.00079454039388,-104.54996247490192,-104.97026334119816,-104.00064870613684,-104.54749712595725,-104.91203876042857,1.6128
UDS_7301,-102.82169957939422,-103.72844721845574,-104.51687620458293,-102.64594379665277,-103.55664247693382,-104.28974888630498,1.6928
UDS_7303,-100.9189378601208,-101.65745360389431,-102.09487869665624,-100.91890000057803,-101.65741320383917,-102.09463161012772,0.2663
UDS_7312,-101.88021289804615,-102.88935243840331,-103.51050546086972,-101.87916139473344,-102.88799734397662,-103.50756953329548,0.7735
UDS_7313,-102.1531380654372,-102.43682306297403,-102.49189393061988,-102.1531380654372,-102.43682306297403,-102.49189393061988,0.6085
UDS_7322,-101.99042049662378,-102.28111223199058,-102.33933544246467,-101.99042049662378,-102.28111223199058,-102.33933544246467,1.4925
UDS_7323,-101.73962897782594,-102.37775086127706,-102.82745661332561,-101.4104468817318,-102.0996337850461,-102.47471950116277,1.3449
UDS_7324,-103.3037211843971,-104.44863551762793,-105.38498909448083,-103.29626106358512,-104.44277339945509,-105.37838914726964,1.2659
UDS_7333,-100.32325459475882,-101.03361935804057,-101.44682312200783,-100.32325459475882,-101.03361935804057,-101.44682312200783,0.3825
UDS_7343,-99.87302181740807,-101.2533759747094,-102.11721430468126,-99.87302181740807,-101.2533759747094,-102.11721430468126,0.6492
UDS_7344,-102.85961860867161,-103.36662102806048,-103.64280816915559,-102.75019513594899,-103.26007910038135,-103.48583268575582,2.1928
UDS_7348,-101.9412046615345,-102.58714337321733,-102.91118706438057,-101.9412046615345,-102.58714337321733,-102.91118706438057,1.0954
UDS_7354,-102.9879369893588,-103.67192065241875,-104.34261297809701,-102.9879369893588,-103.67192065241875,-104.34261297809701,1.4445
